generation,min_fitness,max_fitness,avg_fitness,std_fitness
0,1344.9384942315567,1488.8088491218996,1456.8470115343941,26.02990061931617
1,1324.4280836569,1447.5892572710836,1422.0099702695607,21.65799888981921
2,1305.6374252218268,1428.9130147636668,1404.6564049394217,20.729700022890977
3,1291.5411404508757,1415.7968314879076,1391.9753253260337,19.905795196149906
4,1262.255477250619,1405.778252259864,1382.8532742256,19.898434985128105
5,1260.2554408776252,1398.173853963721,1374.4351579164122,21.306043177594038
6,1258.2126143313378,1391.4463192581802,1367.472083753128,21.890164347431497
7,1253.9554275614687,1385.1577664494068,1360.6041845215984,22.399095614123894
8,1253.2675894870533,1380.0887171073205,1354.2378565689507,22.52362379549201
9,1253.2675894870533,1374.1334066707132,1348.3556240997807,22.705660984716854
10,1253.2675894870533,1368.2598256593296,1342.10905798734,22.693672450801156
11,1253.2675894870533,1362.5657509868786,1335.929226017585,22.830960706777827
12,1230.9781472350833,1356.9318305314087,1329.9208737634508,23.349090595282203
13,1222.0674773198807,1351.4114490858713,1323.7812781958125,22.988661409162667
14,1204.0474326337207,1346.011267408492,1318.5877049668031,22.732026214108014
15,1201.439043423474,1340.75016580271,1313.6011355556072,22.962471717419607
16,1201.439043423474,1336.0852147285545,1309.033319521064,23.168904516369114
17,1201.439043423474,1330.8559467272194,1304.0262835746466,22.820742302907615
18,1201.439043423474,1325.801788979636,1299.1140850908014,22.480296028914786
19,1187.7952721361662,1321.2520772932396,1294.5012787149144,22.513170590442684
20,1187.7952721361662,1315.9301196977194,1289.3167651210902,22.668241525263504
21,1187.7566005645856,1312.087671113855,1285.1149848648508,22.43985359398325
22,1178.2348194439458,1308.3375971315454,1281.455713654898,22.386286652172213
23,1177.150282148163,1304.5255846489451,1277.7751569848026,22.720903487197933
24,1175.0064867298513,1300.7568586812238,1273.4422603965577,22.88630982038542
25,1175.0064867298513,1297.4380046692781,1270.0950502826445,22.741747136298333
26,1166.43583108797,1294.3789080403944,1266.3947458724645,22.972978885576246
27,1156.3513704761856,1289.7331757062598,1262.6889313303204,22.961530471475566
28,1156.3513704761856,1285.5990641544392,1258.7778969848932,23.0761839637477
29,1156.3513704761856,1282.1620991732461,1255.2742435211535,22.8038743465436
30,1156.3513704761856,1278.340626105622,1251.8772735921402,22.428881081110802
31,1156.3513704761856,1273.9588180236024,1248.1674182206696,22.15419163395524
32,1156.3513704761856,1270.1200011523185,1244.7106156545226,21.793441799547082
33,1150.2356222740855,1267.677786942935,1241.6435401666959,21.78614017186751
34,1150.2356222740855,1264.3312183928795,1238.7946515560927,21.43644533497628
