generation,min_fitness,max_fitness,avg_fitness,std_fitness
0,1698.2198991810537,2034.238522992941,1882.147894509486,59.01221856490382
1,1685.5568347275407,2034.238522992941,1879.739198401381,57.24579646787316
2,1684.065032123522,1878.479186375251,1831.5049213678058,36.615963624918315
3,1683.0655734995153,1847.3613961320139,1807.3892748707012,32.31099010564092
4,1683.0655734995153,1828.431930092268,1791.4974851184206,29.49742890394662
5,1670.227123046039,1814.5268493929545,1778.9934496932103,27.918585442752704
6,1667.040557945535,1814.8379374723788,1778.588354923331,28.21958686453273
7,1648.2717526129875,1804.4006311149044,1769.625668039791,27.18816938958752
8,1648.2717526129875,1795.115460431855,1761.7101229662994,26.64237194238199
9,1648.2717526129875,1786.5775427438996,1755.0649121898718,26.518896956863134
10,1618.5541071996404,1780.6302675984998,1748.884997656724,26.587495115578577
11,1618.5541071996404,1775.3937510118644,1743.5160854500448,26.593955022117704
12,1610.3638323575053,1769.8297564498655,1737.7749910886648,27.041514420667376
13,1610.3638323575053,1764.3792562490628,1731.7981817647412,27.464403787339872
14,1610.3638323575053,1758.6984159766062,1726.108124307043,27.60315249185889
15,1610.3638323575053,1754.0306634465555,1720.3456530230687,27.412180850717302
16,1610.3638323575053,1749.2134843634765,1715.2024470330962,26.85244585287546
17,1600.1590457222471,1744.8724621103756,1710.5729350515744,26.957345748481043
18,1600.1590457222471,1739.652062375244,1705.7558441225606,26.563765909424475
19,1600.1590457222471,1734.826112015756,1700.9887311080647,26.334008310260696
20,1600.1590457222471,1729.7276248904213,1696.0908803248062,26.06799302145529
21,1600.1590457222471,1725.0647595360624,1691.855960849563,25.575722463233216
22,1596.3203062976218,1720.6143698805486,1687.6684510615328,25.359879698223576
23,1587.9697284844312,1716.96206366691,1683.8413609253516,25.279573663508753
24,1574.0488242414103,1712.344968175412,1679.6528645419564,25.40075919400265
25,1574.0488242414103,1707.6441565519358,1674.7955725752383,25.122058141214445
26,1574.0488242414103,1703.221529981752,1671.4548217281347,24.441688747420127
27,1574.0488242414103,1698.5556073811501,1667.0716260655665,24.268404075339895
28,1561.0062522429487,1693.2293745312447,1661.9084856071177,24.36853984291476
29,1556.4627853347413,1687.911316118309,1656.7548383331778,24.41649608328862
30,1556.4627853347413,1682.6716108353771,1651.1602477496128,24.219095584957522
31,1547.6996267507463,1677.681655063557,1646.1827040821183,24.594433092671423
32,1540.9779888649182,1671.8081632126327,1640.7985798779205,24.68126227842162
33,1540.9779888649182,1666.437399207321,1635.400538833192,25.09321071520278
34,1523.1923319150592,1661.5947574153547,1631.0641131570433,25.160255448593688
35,1523.1923319150592,1657.1070483944377,1626.4026436401255,25.23497856451565
36,1523.1923319150592,1651.9189354649466,1620.309447870902,25.76307998395848
37,1496.4980879642883,1646.3920464330802,1614.8306603204378,25.911394742454064
38,1494.4350642570148,1640.8023864442405,1608.4325364065246,27.17948747926849
39,1458.630258043929,1634.8410209243077,1599.7788062577908,29.265396176116866
40,1458.630258043929,1628.870987705241,1591.5187463937798,30.660130469899485
41,1458.630258043929,1620.387872542959,1582.8960933518654,31.058009269057806
42,1455.2448861570394,1611.368072647154,1571.3070668969206,31.485818548458052
43,1445.6446222001034,1598.1013359228157,1557.7213412298786,30.3677935115689
44,1419.0309261045809,1583.9433230798488,1544.128476911621,28.321817453480183
45,1394.01591760115,1568.1526774323972,1532.6947478710497,26.14594374481511
46,1394.01591760115,1554.2100487527684,1521.7509029397772,24.4304238853498
47,1394.01591760115,1542.4254374745683,1511.7952762879918,23.07874737225202
48,1394.01591760115,1532.6053467331315,1504.1565843048797,21.949140916716328
49,1394.01591760115,1525.048286249479,1498.096543081867,21.206425711973957
50,1394.01591760115,1516.2974272080367,1491.2988800455867,20.770526020262764
51,1372.7418782049922,1509.4130462260257,1484.492052208289,21.281863925903483
52,1372.7418782049922,1503.34231420834,1478.3838784486545,21.697896344709417
53,1368.15700647939,1498.7653887735933,1473.5218524047186,21.658128831795892
54,1366.5198605399446,1491.9576338744264,1467.287343032318,22.124432213245946
55,1366.2057106634159,1486.339020860903,1461.7528726425285,22.290678596744932
56,1361.2860230149552,1481.492846572116,1456.4098322048665,22.678782234721258
57,1359.1933073511454,1476.7055102564461,1450.9750194581072,23.073132856589666
58,1336.7655889839689,1472.3741002089725,1446.163197086741,23.282042438797045
59,1327.034557403338,1467.3073349529877,1441.0655347918528,23.062073595820742
60,1327.034557403338,1463.210945698459,1436.4640063716058,22.79608501451453
61,1310.073535487526,1457.6729922136901,1430.3700717087636,23.82690035482941
62,1308.579111436983,1452.7933511736196,1424.5461105613483,24.518504861592287
63,1308.579111436983,1448.1577050921221,1418.8908614615505,24.877317380985133
64,1308.579111436983,1442.5953472086246,1413.5178941273598,25.289428218822405
65,1308.579111436983,1436.3916544873518,1407.2551300855596,25.134252229559927
66,1306.3658005910295,1430.857122799676,1401.202834370144,24.676506535886556
67,1306.3658005910295,1423.6843337037503,1394.134651149854,24.107797426972883
68,1301.3161136099611,1418.150179368046,1387.4900415070194,22.667823914844067
69,1301.3161136099611,1408.2394836115297,1380.0460037854066,20.21598775142445
70,1301.3161136099611,1399.8227764500855,1374.415115818856,18.18972913991855
71,1301.3161136099611,1389.9807155887256,1369.6342317699289,16.957584186840517
72,1301.3161136099611,1384.7405811230349,1366.0409814230536,16.064258922886093
73,1301.3161136099611,1380.2594224313868,1362.8302786979848,15.424739062580137
74,1299.9249950347303,1376.1539552840447,1359.3821981635142,15.021905024125193
75,1281.5877983614196,1372.3771858486245,1356.051611874554,15.132843405504225
76,1281.5877983614196,1369.0418433557977,1353.1927347994856,15.134154463904725
77,1275.9132803182326,1366.2057106634159,1350.385450583023,15.115491155506698
78,1275.9132803182326,1363.537033294682,1347.42081527206,14.759461566256233
79,1275.9132803182326,1360.6704606672965,1344.5501959345106,14.454867312439006
80,1275.9132803182326,1358.1760994335336,1341.8740585822482,14.393842006163956
81,1273.5905682733828,1355.728725975042,1338.7578448143142,14.642433598921754
82,1264.124413747615,1352.8068185800225,1334.742980544447,14.977117861743455
83,1260.3728667450964,1348.9237661008551,1330.5352826900203,14.862872187196608
84,1260.317624768583,1344.7754067576436,1326.7075120683605,14.685072912934274
85,1260.317624768583,1341.6541826409257,1323.069071253697,14.79144382684568
86,1249.1996877529891,1337.1331955523492,1319.5893302927554,14.916297385554182
87,1223.851774491315,1333.2229765841616,1315.93860852151,15.665664107452411
88,1223.851774491315,1329.9840844411956,1312.5372685489133,15.698998387079618
89,1223.851774491315,1327.2829354880612,1309.2943606808599,15.813776129704037
90,1223.851774491315,1324.3377989684045,1305.8482948415053,16.04438564611477
91,1223.851774491315,1321.6044268365636,1302.245306302594,16.00789576672173
92,1223.851774491315,1318.255076944785,1298.2177075584434,15.741274265295635
93,1223.851774491315,1314.9402028719014,1294.7127080621071,15.099119601328926
94,1223.851774491315,1311.686748823775,1292.0173378536272,14.567527692972972
95,1223.851774491315,1307.434074190206,1288.4369976040784,14.11447746657974
96,1223.851774491315,1303.2382644684833,1285.4822860073054,13.557516700912753
97,1219.998786108943,1299.589229943459,1282.4308348753361,13.693837119326192
98,1219.998786108943,1297.0357110065593,1279.732153426785,13.699597954822163
99,1219.998786108943,1294.3784077290172,1277.3221379691402,13.472061919037717
