generation,min,max,mean,stdev
0,551.9488130790063,726.2044683934758,659.1847915331787,37.84995923208865
1,551.9488130790063,729.9237439594743,657.7373185476318,37.76581912255752
2,539.7107911659004,729.9237439594743,657.6273544922028,37.83025895344856
3,539.7107911659004,689.9171753411614,644.2543055128882,31.78151238564977
4,539.7107911659004,665.904694281759,628.2336523262746,26.5845109921823
5,530.8723824688918,647.2246579610255,617.1358372524687,23.803936128302453
6,530.8723824688918,637.0703333882338,609.1168486804378,23.01320886425177
7,500.47421453837995,629.8337772026816,602.7978939614599,22.63289263097296
8,500.47421453837995,625.2711905345634,597.1798627290117,22.878363749930713
9,484.3196000924195,619.9476578245312,590.2997010535378,22.99968974842238
10,479.8302968256129,633.155824562246,601.2349337800349,26.646684503168416
11,479.8302968256129,622.1892735697896,590.7837086561972,25.27710739778465
12,479.8302968256129,614.7053395837207,583.6564385681121,23.79569221864318
13,479.8302968256129,618.9213980144569,587.3970793675745,24.157729868109104
14,479.8302968256129,610.5019637691092,580.3630919761097,22.46492836608144
15,479.8302968256129,609.488968433599,579.5899006904422,22.661000291535476
16,479.8302968256129,605.5704328231667,576.1998086916174,22.60454500855308
17,479.8302968256129,601.6241357124951,573.3337134194218,22.156491085689474
18,479.8302968256129,597.4722874267593,570.1024930639735,21.630084499878162
19,479.8302968256129,593.9411697957567,567.0657039222199,21.514297546538373
20,473.1141288654981,590.634983805036,564.4130653468507,21.50196091449249
21,473.1141288654981,587.7477869384282,561.6548048383466,21.193202774816122
22,473.1141288654981,585.1422641103472,558.7549276426818,20.777908462532157
23,473.1141288654981,581.4218295710109,555.8738933156476,20.299424621121506
24,456.9402507190125,578.3761320631224,553.2072127849004,20.679879801547226
25,456.9402507190125,575.6070652466684,550.7069470621769,20.45122180029543
26,456.9402507190125,572.8831626321025,548.3681262284256,20.589151421199745
27,456.9402507190125,570.6120350113874,546.1625203033145,20.678744236030173
28,456.9402507190125,569.0985921034799,544.7262729348554,20.48442718038029
29,456.9402507190125,566.2395379283649,542.3007490201257,20.304902673499893
30,456.9402507190125,564.2941822597212,540.3289183408456,20.203931457150862
31,456.9402507190125,562.2753334150984,538.7149073760227,20.028463683391518
32,456.82683487402204,560.8019499403345,536.696441940514,20.209399874090995
33,456.82683487402204,559.1852369949959,534.8647251758023,20.243486067824
34,456.82683487402204,556.8285828381154,533.2996945391717,19.876494449237708
35,456.82683487402204,554.8168879800762,531.6213270590464,19.553043892095967
36,455.8347451310034,553.2528035105969,529.8530386790155,19.561393668274576
37,455.8347451310034,551.1068049178996,527.9987475053304,19.3132251678062
38,455.8347451310034,549.5038808285701,526.4237789550241,19.165604867180978
39,455.8347451310034,547.5311672800007,524.5842180871874,18.891416966578742
40,455.8347451310034,545.3697593200336,522.5435699256913,18.729908878435733
41,452.955205510265,543.183614332822,520.7438025055321,18.526714410279634
42,452.955205510265,541.0221221876876,518.3985458288279,18.357617904879124
43,446.33498321516316,539.2998331104538,516.311655899458,18.62735897591381
44,441.80005458233023,537.7280059424702,514.2115533510209,18.543790265119153
45,426.5017822576654,535.4070891918591,512.3341070713863,18.64105305359396
46,426.5017822576654,533.6266773984592,510.99822741727394,18.59243641936653
47,426.5017822576654,531.5270944505788,508.68034574806194,18.56443530703199
48,426.5017822576654,529.6057502290514,506.4863360418395,18.719151221357894
49,426.5017822576654,527.1053794410599,504.2899522126671,18.66361156300817
50,426.5017822576654,525.8711574957632,502.66255917831154,18.764931159201325
51,426.2112594252795,523.3372544035608,500.2029079326012,18.68580469439622
52,418.75038457438086,520.7463870587785,497.7625804514878,18.868297438032922
53,418.75038457438086,518.8011596133499,495.2809170444966,19.005599759892434
54,418.75038457438086,516.5852448734267,492.8646304901492,18.889705256165076
55,418.75038457438086,514.2488143079162,490.41200255250965,18.4569162410462
