generation,min_fitness,max_fitness,avg_fitness,std_fitness
0,1064.2746941321648,1233.4972681129275,1149.5302900568574,34.130416858791634
1,1054.3030221620593,1187.1469500483802,1139.1316453657478,26.949596938025234
2,1044.0700520816983,1139.139385457391,1115.4417250366566,18.04070887115967
3,1037.9620433941825,1125.3185090776847,1105.2414400442772,16.888800711305354
4,1037.6123300765028,1117.7338238539019,1098.6610438456287,15.979469507814441
5,1037.6123300765028,1123.4777863372965,1103.3807253591808,16.712321129666226
6,1015.3035193037936,1114.8083554894185,1095.693069625085,16.19907525013238
7,1004.8327584506679,1113.8583444357373,1094.319547938884,17.06108490358697
8,1004.8327584506679,1110.6998694752779,1091.1513418165134,16.92178755678846
9,1004.8327584506679,1107.7110591751562,1088.1867199915557,16.546694164700384
10,1004.8327584506679,1104.6745133037107,1085.3015622078087,16.14925926731261
11,1004.8327584506679,1101.4290200071434,1082.5061004358745,15.964330136912428
12,1004.8327584506679,1098.4182130759582,1080.0338138319512,15.681021601789874
13,1004.8327584506679,1095.5622676755609,1077.7639655410994,15.42563934316986
14,1002.9696222266102,1092.7904750474231,1075.1450892646303,15.51911011980875
15,995.3230322888747,1090.6423833461117,1072.8954400234495,15.515828556610726
16,995.3230322888747,1088.5969095300222,1071.0700605642462,15.116218234494385
17,995.3230322888747,1086.3554586692958,1069.2857573295728,14.879626894463057
18,995.3230322888747,1084.4923106504218,1067.8191957800705,14.618540510978951
19,995.3230322888747,1082.8016735552717,1065.8976958301714,14.641418587522509
20,995.3230322888747,1081.343562463177,1064.5977212275159,14.6710439900063
21,989.9961517316353,1079.8795312127538,1063.177107974607,14.82750324900689
22,989.9961517316353,1078.539927022936,1062.0371339279172,14.636448263900354
23,986.1181795775752,1077.0951188970196,1060.2745665603086,14.795959989898906
24,986.1181795775752,1075.7424353927622,1059.0302628351312,14.551401803742479
25,986.1181795775752,1074.5750722496302,1057.58096435372,14.693966446074793
26,983.668896059153,1073.137820388768,1056.0943542637438,14.6483224485338
27,983.668896059153,1072.1097535447116,1054.9867133683697,14.4739198573204
28,983.668896059153,1070.7740921943002,1053.6651393143923,14.347662998062749
29,983.668896059153,1069.4148026228927,1052.774438217327,14.057945189214076
30,983.6341644861219,1068.3413666088145,1051.4241076445035,14.295218163018916
31,966.241763606097,1067.2194912308903,1050.0534298323978,14.60186507252603
32,966.241763606097,1065.8763568862842,1048.8383394832024,14.471572170999778
33,966.241763606097,1064.7979052325868,1047.7418089656578,14.201025600950093
34,966.241763606097,1063.5889088531042,1046.608029796576,14.066526569135851
35,966.241763606097,1062.6020443464072,1045.8505426748577,13.950843477079173
36,966.241763606097,1061.2797147009019,1044.592335816585,13.828744266106085
37,966.241763606097,1060.4089615902028,1043.7433247700644,13.647956696702158
38,966.241763606097,1059.1583145305656,1042.6221599950943,13.670879384787964
39,966.241763606097,1057.666246820868,1041.4867575327369,14.098818268403182
40,966.241763606097,1056.5352311196316,1040.833988044761,13.928176764757787
41,966.241763606097,1055.3104081074748,1039.7704992973695,14.011346179089205
42,955.711463013386,1054.4798916709644,1038.7399154105894,14.378934368911663
43,955.711463013386,1053.5275335511467,1037.901679317824,14.374278068963886
44,955.711463013386,1052.5698625280759,1037.0520196079099,14.312762992169647
45,955.711463013386,1051.4793784363526,1036.0479378112607,14.496246567575525
46,955.711463013386,1050.401027416653,1034.8634044316384,14.859056888374173
47,955.711463013386,1049.4677290202928,1033.5248739995336,14.995513501600307
48,955.711463013386,1048.0916659087034,1031.9132788970207,15.435795119979053
49,955.711463013386,1046.9661213645268,1030.771547070014,15.653617541023317
50,955.711463013386,1045.9262823524864,1029.7506099496434,15.710029129545845
51,955.711463013386,1045.2111773332035,1028.4843786139495,15.98775718568837
52,955.711463013386,1044.2889950785425,1027.5219020413701,16.085673208822442
53,955.711463013386,1043.0552913550075,1025.9831493267438,16.37702656011288
54,955.711463013386,1041.853259817516,1024.5464758039493,16.57631077223299
55,955.711463013386,1041.0173348659957,1023.4417981489854,16.69373129647525
